"id","title","file","uploaded_at"
"212","Dont You Know Who I Am How to Stay Sane in an Era of Narcissism, Entitlement, and Incivility (Ramani Durvasula) (Z-Library)","documents/Dont_You_Know_Who_I_Am_How_to_Stay_Sane_in_an_Era_of_Narcissism_Entitlement_and_Incivility_Ramani_Durvasula_Z-Library.pdf","2024-12-08 13:21:24.665278+05"
"213","Getting the Love You Want A Guide for Couples (Harville Hendrix) (Z-Library)","documents/Getting_the_Love_You_Want_A_Guide_for_Couples_Harville_Hendrix_Z-Library.pdf","2024-12-08 13:21:24.667429+05"
"214","Healing the Angry Brain_ How Understanding the Way Your Brain Works Can Help You Control Anger and Aggression ( PDFDrive )","documents/Healing_the_Angry_Brain__How_Understanding_the_Way_Your_Brain_Works_Can_Help_You_Control_Anger_and_Aggression__PDFDrive_.pdf","2024-12-08 13:21:24.670845+05"
"215","Hold me tight _ seven conversations for a lifetime of love ( PDFDrive )","documents/Hold_me_tight___seven_conversations_for_a_lifetime_of_love__PDFDrive_.pdf","2024-12-08 13:21:24.672856+05"
"216","How to Talk So Kids Will Listen & Listen So Kids Will Talk ( PDFDrive )","documents/How_to_Talk_So_Kids_Will_Listen__Listen_So_Kids_Will_Talk__PDFDrive_.pdf","2024-12-08 13:21:24.676885+05"
"218","Insecure in Love_ How Anxious Attachment Can Make You Feel Jealous, Needy, and Worried and What You Can Do About It ( PDFDrive )","documents/Insecure_in_Love__How_Anxious_Attachment_Can_Make_You_Feel_Jealous_Needy_and_Worried_and_What_You_Can_Do_About_It__PDFDrive_.pdf","2024-12-08 13:21:24.68243+05"
"219","Mating in Captivity. (Esther Perel) (Z-Library)","documents/Mating_in_Captivity._Esther_Perel_Z-Library.pdf","2024-12-08 13:21:24.688446+05"
"220","Men Are from Mars, Women Are from Venus (John Gray) (Z-Library)","documents/Men_Are_from_Mars_Women_Are_from_Venus_John_Gray_Z-Library.pdf","2024-12-08 13:21:24.691663+05"
"221","Nonviolent Communication_ A Language of Life_ Create Your Life, Your Relationships, and Your World in Harmony with Your Values ( PDFDrive )","documents/Nonviolent_Communication__A_Language_of_Life__Create_Your_Life_Your_Relationships_and_Your_World_in_Harmony_with_Your_Values__PDFDrive_.pdf","2024-12-08 13:21:24.693671+05"
"222","Should I Stay or Should I Go Surviving a Relationship with a Narcissist (Ramani Durvasula) (Z-Library)","documents/Should_I_Stay_or_Should_I_Go_Surviving_a_Relationship_with_a_Narcissist_Ramani_Durvasula_Z-Library.pdf","2024-12-08 13:21:24.697078+05"
"223","The 5 Love Languages The secret of Love that Lasts (Gary Chapman) (Z-Library)","documents/The_5_Love_Languages_The_secret_of_Love_that_Lasts_Gary_Chapman_Z-Library.pdf","2024-12-08 13:21:24.700129+05"
"224","The Analysis of the Self A Systematic Approach to the Psychoanalytic Treatment of Narcissistic Personality Disorders (Heinz Kohut) (Z-Library)","documents/The_Analysis_of_the_Self_A_Systematic_Approach_to_the_Psychoanalytic_Treatment_of_Narcissistic_Personality_Disorders_Heinz_Kohut_Z-Library.pdf","2024-12-08 13:21:24.719576+05"
"225","The Assertiveness Guide for Women_ How to Communicate Your Needs, Set Healthy Boundaries, and Transform Your Relationships ( PDFDrive )","documents/The_Assertiveness_Guide_for_Women__How_to_Communicate_Your_Needs_Set_Healthy_Boundaries_and_Transform_Your_Relationships__PDFDrive_.pdf","2024-12-08 13:21:24.727019+05"
"226","1._100_ways_to_motivate_yourself","documents/1._100_ways_to_motivate_yourself.pdf","2024-12-08 13:21:24.730526+05"
"227","50 Mindful Steps to Self-Esteem. Everyday Practices for Cultivating Self-Acceptance and Self-Compassion ( PDFDrive )","documents/50_Mindful_Steps_to_Self-Esteem._Everyday_Practices_for_Cultivating_Self-Acceptance_and_Self-Compassion__PDFDrive_.pdf","2024-12-08 13:21:24.732683+05"
"228","Alan Watts Lectures","documents/Alan_Watts_Lectures.pdf","2024-12-08 13:21:24.735047+05"
"229","Alan Watts--Here and Now_ Contributions to Psychology, Philosophy, and Religion ( PDFDrive )","documents/Alan_Watts--Here_and_Now__Contributions_to_Psychology_Philosophy_and_Religion__PDFDrive_.pdf","2024-12-08 13:21:24.740183+05"
"230","Am I Enough__ Embracing the Truth About Who You Are ( PDFDrive )","documents/Am_I_Enough___Embracing_the_Truth_About_Who_You_Are__PDFDrive_.pdf","2024-12-08 13:21:24.742706+05"
"231","Awaken the Giant Within - Winner Walking ( PDFDrive )","documents/Awaken_the_Giant_Within_-_Winner_Walking__PDFDrive_.pdf","2024-12-08 13:21:24.745943+05"
"232","Confidence_ Overcoming Low Self-Esteem, Insecurity, and Self-Doubt ( PDFDrive )","documents/Confidence__Overcoming_Low_Self-Esteem_Insecurity_and_Self-Doubt__PDFDrive_.pdf","2024-12-08 13:21:24.748453+05"
"233","Daring Greatly_ How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead ( PDFDrive )","documents/Daring_Greatly__How_the_Courage_to_Be_Vulnerable_Transforms_the_Way_We_Live_Love_Parent_and_Lead__PDFDrive_.pdf","2024-12-08 13:21:24.751486+05"
"234","Feel the Fear and Do It Anyway ( PDFDrive )","documents/Feel_the_Fear_and_Do_It_Anyway__PDFDrive_.pdf","2024-12-08 13:21:24.755878+05"
"235","How To Improve Memory - The Ultimate Mind Power Manual - The Best Brain Exercises to Improve Your Memory and Master Your Mind Power ( PDFDrive )","documents/How_To_Improve_Memory_-_The_Ultimate_Mind_Power_Manual_-_The_Best_Brain_Exercises_to_Improve_Your_Memory_and_Master_Your_Mind_Power__PDFDrive_.pdf","2024-12-08 13:21:24.759438+05"
"236","Presence ( PDFDrive )","documents/Presence__PDFDrive_.pdf","2024-12-08 13:21:24.762455+05"
"237","Quiet_ The Power of Introverts in a World That Can't Stop Talking ( PDFDrive )","documents/Quiet__The_Power_of_Introverts_in_a_World_That_Cant_Stop_Talking__PDFDrive_.pdf","2024-12-08 13:21:24.766734+05"
